sample_id,customer_text,brand_response,suggested_intent,suggested_escalate,human_intent,human_escalate,human_notes
1,"@AmazonHelp Hi,ich habe ein Problem mit meinen geliehenen Amazon Video Filmen. Wo kann ich mich für Hilfestellungen hinwenden?","@192515 Hi, die Kollegen erreichst du - gerne auch telefonisch - über unser Kontaktformular: https://t.co/aAfOxTGpe1 Lieber Gruß ^SI",digital_content,False,digital_content,False,
2,@115821 Based on my late packages you’re not actually shipping things....,@423096 Sorry your parcels aren't arriving as expected. Has the tracking updated to reflect this? ^RR,order_delivery,False,order_delivery,False,
3,Hey @115830 why are you telling someone they can keep the phone I sold them after I already refunded the money? So your policy says they can keep my money and my phone??? What the hell is that about????,"@791904 I am terribly sorry for the trouble you're having. We do not have access to that information on social media. When you have a moment, please contact us here: https://t.co/3glASt8VcW ^VF",returns_refunds,False,returns_refunds,False,
4,@AmazonHelp You should GN,"@678751 As informed earlier, we don't have any announcement yet. Please stay tuned. ^MK",other_non_actionable,False,other_non_actionable,False,
5,"@116928 Buenos días,tengo una pregunta. Por qué descuidáis o por qué no supervisáis antes las traducciones y los errores que puedan contener los libros en formato electrónico?Todos tienen errores.Los notificó y nadie contesta.","@812008 Buenos días Health, lamentamos el inconveniente. ¿Has reportado lo que indicas directamente por teléfono con nuestros compañeros de Soporte al Cliente? ^DA",other_non_actionable,False,digital_content,False,
6,"@130293 me podéis ayudar, ha cambiado el idioma de todas las apps al español. Pero en un móvil me sigue apareciendo en inglés... He borrado e instalado varias veces... Pero no me sale la opción de cambio de idioma.. Gracias!",@679468 Hola Josep. Te recomendamos contactar a nuestro Servicio de Atención: https://t.co/OjvUxwnzPe ^HC,device_technical,False,device_technical,False,
7,@AmazonHelp I don't have an Amazon account with that email address. But it is an address with 2 step verification that has not been hacked.  Why would someone be able to set up an Amazon account with an email account that has not been verified thru Amazon?  Sounds like Amazon security prob.,"@280258 Hey, you can set up an Amazon account using any email address that's not already associated with Amazon account. ^RS",account_security,True,account_security,True,
8,@AmazonHelp Sent my details as required.. expecting a quick intervention.,@242148 Thank you for the confirmation. We have received your details. We would now investigate and connect with you at the earliest. ^KK,other_non_actionable,False,other_non_actionable,False,
9,@115850 is just awesome. They solve my problem in 1 hour and also give a amazon pay gift.  Thank you @115850 @115823,@773642 I'm glad that you are happy with our service. ^SF,other_non_actionable,False,other_non_actionable,False,
10,"@AmazonHelp What repeat , what about my loses? It’s more than ₹4000",@414841 here: https://t.co/beaaDm0muc. We'll check and get back to you at the earliest. 2/2 ^HS,other_non_actionable,False,customer_service_complaint,False,
11,@AmazonHelp Thanks. Do check also why its taking more than 15 days to fix this. Can you cnfm this is not a virus issue? We must info ppl to be careful.,"@306166 We've received your details, our team is currently working on this. You should receive an update soon. ^EM",other_non_actionable,True,account_security,True,
12,@AmazonHelp Yes I received an email saying it had been successfully changed but it still won’t work. I’ve tried logging into my other account and it works fine but for some reason this one won’t work?,@823221 I'm sorry about this Anna. Can you contact us here:  https://t.co/jzvkhdlrK5 so we can take a look for you? ^MI,other_non_actionable,False,account_security,False,
13,"@115850 guys, bluedart is RIP in my area, I had to delegate and be the vent box for 30 pissed employees before I could get my cable, and that's when I was apologized to and assured that you will take care, GUESS WHAT? didn't happen :| why you do this fam.",@688441 I'm sorry for the unpleasant experience with your recent order. Kindly share your details here: https://t.co/beaaDm0muc we'll look into it and reach out to you soon. ^AP,device_technical,False,order_delivery,False,
14,@AmazonHelp Where do I find this please? It got to the point where she was so unhelpful I cancelled my prime membership,"@648488 agent, were they able to relay your feedback? Also, what options did they offer? Let us know, we would love to help. (2/2) ^SA",subscription_prime,False,subscription_prime,False,
15,Como siempre al cien 👌👌 @116875 *-* https://t.co/fmALlAtxPF,@437916 🙀 Hiciste una compra increíble. ¿Ya empezaste el juego? ^LG,other_non_actionable,False,other_non_actionable,False,
16,@AmazonHelp チョコレート味だいすきです( ¯ᒡ̱¯ )و♡,@494147 これだけお買い求めいただいたので、しばらくはもつかと思いますが、またのご利用をお待ちしております！ RI,other_non_actionable,False,other_non_actionable,False,
17,Dejad de sacarme el dinero @116928 😂😂❤️ https://t.co/uJY9phF0mV,"@417580 Hiciste una compra increíble, Rubén 🤗 ¿Estás preparado para los Orígenes? ^LG",other_non_actionable,False,other_non_actionable,False,
18,"Estoy muy contento con @116928 y su velocidad de envío, productos que iban a llegar mañana y el jueves me llegan hoy.

No solo hay que publicar cuando estamos disconformes, excelente trabajo! #AmazonPrime 👏🏼👏🏼","@801096 Nos alegra saber que tu pedido llegó tan rápidamente. Cuéntanos, ¿qué compraste? ^AZ",subscription_prime,False,subscription_prime,False,
19,I can not believe how terrible @116090 has become. I will NOT be renewing #amazonprime. What a joke.,"@460824 Hey, Willy. Without disclosing personal information. Will you tell us more about what's going on? We'd be happy to help.^SK",subscription_prime,False,subscription_prime,False,
20,"@AmazonHelp Wait... you guys have it. Just that the first run of the app, asked me to enter my email/password. Found the easier way the second time.",@295899 We have still shared your feedback internally to explore easier options. Thank you. ^HK,account_security,True,account_security,True,
21,"@AmazonHelp Oui : report de la livraison à jeudi, sans motif. J’ai tenté de modifier mon lieu de livraison, bug sur le site, je rétablis mon adresse d’origine... livraison repoussée à samedi... et le service client n’est même pas en mesure de rétablir la date à jeudi 😡😡",@713404 La commande n'est toujours pas expédiée?,other_non_actionable,False,order_delivery,False,
22,@AmazonHelp It’s about 45 minutes to an hour away from me. Carrier is AMZL US,"@753985 Thanks for confirming, Eloy. A specialist would like to further look into this with you here: https://t.co/DTOM2jXMwn ^FD",other_non_actionable,False,order_delivery,False,
23,Hey @115821 ... I think a 12”x15” box for a single mechanical pencil is a bit much. https://t.co/FPjip9uUtu,@639882 We're always looking for ways to improve. Please let our Packing team know about this by following the steps listed here: https://t.co/4zqTmlFeDj ^RA,other_non_actionable,False,product_order_issue,False,
24,@AmazonHelp ペルソナ5のピアノ版サントラもオナシャス！！,@661253 お約束できず申し訳ございませんが、ご期待にそえる作品をご提供できるよう、今後も努めてまいります。 RI,other_non_actionable,False,other_non_actionable,False,
25,"@AmazonHelp It now says Monday but up until 30 mins/ an hour ago it said tomorrow
The emails say tomorrow
When I ordered it says tomorrow
I fully understand if you’re having transport issues but I should of been made aware at checkout that next day was not an option","@443315 If you do not receive your order by the newly appointed time, please let us know so we may look into this on your behalf. ^WM",order_delivery,True,order_delivery,True,
26,"@AmazonHelp After 2 days and hour long conversations each time with not much help from CS, we were able to log in and cancel the trial. I’ll go back to using my personal acct. this has been treacherous. I’m almost tempted to not use Amazon again to keep it from happening to me.",@808145 I'm so sorry about the poor experience. We are incredibly glad that it could be resolved for you. Please don't hesitate to reach out if you need further assistance. We are glad to help. ^BE,device_technical,False,subscription_prime,False,
27,アマゾンプライム会員になっちゃった,@798658 ご登録ありがとうございます！(*´∇｀*) Amazonプライムの特典は追加料金なしでご視聴いただける「プライム・ビデオ」など様々ございますので、ぜひご活用ください♪ https://t.co/qjaFIyMkEk  TN,other_non_actionable,False,other_non_actionable,False,
28,@AmazonHelp why can’t i get into my amazon account? It says my password is incorrect and i know it’s correct i changed it 3 times now,@392732 Please reach out to an Account Specialist. They can be reached by phone: 888-282-2406 or e-mail: https://t.co/sceYPBirA2 ^AF,account_security,True,account_security,True,
29,"@AmazonHelp I ordered one device and gifted it to my friend, I have to buy one for me so I requested another invitation. it's now about a month. I didn't get any notification specifying that you are eligible to buy it or not.",@399741 Request you to reach out to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. ^MK,device_technical,False,product_order_issue,False,
30,Kaputt gebastelt von der IT @116316. 🤡 https://t.co/AOFCyKlFgG,@375444 Nobody's perfect 😅! Bei welchem Artikel ist das denn? ^AS,other_non_actionable,False,other_non_actionable,False,
31,"@115830 ❤️ that I can buy all my Christmas shopping in one, convenient place: Amazon! and your delivery drivers ruin it by leaving my goods outside in full view for ‘collection’ by peeps walking down my street! #notgoodenough","@226620 I'm sorry for the poor delivery experience! To confirm, have you already set up delivery preferences: https://t.co/6lAUHIsYyl? If so, please reach us by phone or chat so this can be looked into further: https://t.co/JzP7hlA23B ^MV",order_delivery,False,order_delivery,False,
32,"@AmazonHelp Placed order yesterday for in stock item, 2 day free prime shipping. Order email came, looked at it today said delivery on the 15th. Called CS, to ask why this happen since I gave a friend the link to the item and he ordered 3 hours later and his shipped last night. 1/2",@349279 I'm so sorry for this poor experience! The shipping address chosen at checkout could also have an impact on the delivery date as well as the shipping method chosen at checkout. What is the current delivery date showing for this order? https://t.co/Y5jpI9gRhE ^HS,order_delivery,False,order_delivery,False,
33,@115850 charged shipping charges inspite of invoice &amp; offer mentioning zero. Please refund. https://t.co/TwsCKBGq1N,"@224602 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^EM",payment_billing,True,payment_billing,True,
34,@115830 where's the Arrow S5 box set on prime?,@366387 Thanks for reaching out. I found it here: https://t.co/bfLNgC8875 ^BH,subscription_prime,False,subscription_prime,False,
35,"@313536 @115821 Had I realized, I wouldn't have ordered....so yaaaaa","@312744 I'm sorry for the wait. We show the estimated delivery date for your order during checkout, before you place the order. ^MB",order_delivery,False,order_delivery,False,
36,"@AmazonHelp Yes, everything else streams fine. Just CBS is a problem.",@462368 Thanks for the info. Please contact us here so we can look into this with you in real time: https://t.co/EKXRLsnxJu ^GG,other_non_actionable,False,digital_content,False,
37,@AmazonHelp No date as it’s now out of stock with amazon so they said that it’ll either get dispatched when it’s back in stock or will be automatically cancelled if they cannot source more stock from the supplier.,"@227687 Please keep us informed about the outcome of this, Antony.^PJ",other_non_actionable,False,order_delivery,False,
38,@AmazonHelp Yes they are both third party sellers,"@357764 Since you are not being given the option to file an A-to-Z guarantee claim through your account, reaching out to us over chat or phone might be the way to go.  We can be reached here: https://t.co/hApLpMlfHN  Thank you! ^WB",other_non_actionable,False,other_non_actionable,False,
39,@122232 @115830 Maybe @AmazonHelp can help? Maybe? Anyone?,@758688 I'm sorry! We'd like a chance to look into this and review our available options. Please visit us here: https://t.co/JzP7hlA23B ^WT,other_non_actionable,False,other_non_actionable,False,
40,"Uhm, excuse me Amazon. Why is my copy of Ultra Sun/Moon saying it'll be here on Wed??? I have Prime??? Lol fml smh.","@135209 Hi, what date is advised on the order confirmation email? ^ES",subscription_prime,False,subscription_prime,False,
41,I’m a prime member and @115821 has been giving me SUCH a hard time with all of my orders this past month. I legit buy everything on amazon🙄,@554848 Sorry for the trouble. What seems to be going on? How can we help? ^RR,subscription_prime,False,subscription_prime,False,
42,@115850 Got a phone with some defects.Tried for exchange but neither you provide hand2hand exchange nor u provide a spare phone. WOW☹️ https://t.co/3AQ4VHDQcV,@391982 I understand the need a phone. May I know if you reported this to our support team here: https://t.co/vlvfJr4nN9? ^BS,device_technical,False,product_order_issue,False,
43,"@115830 Interesting. So you use Black Friday as an excuse to send out shoddy goods for marketplace sellers with no right to a replacement because it was a 'special offer'? Special offer or no special offer, I am entitled to a new item at the same price, yes?","@130468 Hello there! If you received a damaged or potentially low-quality item, we would love to help! However our return/refund/replacement policies address different scenarios, so we'll need a little more info. Was the order shipped by Amazon? Please let us know! ^JD",other_non_actionable,False,product_order_issue,False,
44,@AmazonHelp Need support from amazon for either replacement of order or refund.,"@432926 If an item is out of the return window, we would n't be able to take any action on the same. Appreciate your understanding.^CB",returns_refunds,False,returns_refunds,False,
45,@AmazonHelp I bought SOW gold Edition and i receive Code for Expansion Pass but apparently not.. literally it's another standard SOW Game,@192999 I understand your frustration! Have you contacted Xbox about the code: https://t.co/iYXa6g8dsI? Please keep us posted. ^KB,device_technical,False,product_order_issue,False,
46,"このサービスが年間4000円って
何かチョットおかしい気がするよね

#ありがたいけど
#心配になる
#amazon",@466366 Amazonプライムをご活用いただけているようで、ありがとうございます(*'ω'*) 今後ともよろしくお願いいたします！ EK,other_non_actionable,False,other_non_actionable,False,
