sample_id,customer_text,brand_response,suggested_intent,suggested_escalate,human_intent,human_escalate,human_notes,gold_intent,gold_escalate,predicted_intent,intent_confidence,retrieved_customer_text,retrieved_brand_response,retrieval_similarity,predicted_escalate,escalation_reason,draft_reply,intent_correct,escalation_correct
1,"@AmazonHelp Hi,ich habe ein Problem mit meinen geliehenen Amazon Video Filmen. Wo kann ich mich für Hilfestellungen hinwenden?","@192515 Hi, die Kollegen erreichst du - gerne auch telefonisch - über unser Kontaktformular: https://t.co/aAfOxTGpe1 Lieber Gruß ^SI",digital_content,False,digital_content,False,,digital_content,False,digital_content,0.2531656183883992,@AmazonHelp ich habe ein Problem mit einem Headset das ich im September 16 bestellt habe und im Dezember schon ausgetauscht wurde,"Hi, dann melde dich doch bitte gleich bei meinen Kollegen: Grüße",0.35071554945912664,False,safe_to_auto_handle,"Hi, dann melde dich doch bitte gleich bei meinen Kollegen: Grüße",True,True
2,@115821 Based on my late packages you’re not actually shipping things....,@423096 Sorry your parcels aren't arriving as expected. Has the tracking updated to reflect this? ^RR,order_delivery,False,order_delivery,False,,order_delivery,False,order_delivery,0.13964412012964497,@AmazonHelp Great so you’re not actually customer service ! 🙄,us using the link provided earlier so that we can help you further. (2/2),0.3387434198445925,True,low_intent_confidence,us using the link provided earlier so that we can help you further. (2/2),True,False
3,Hey @115830 why are you telling someone they can keep the phone I sold them after I already refunded the money? So your policy says they can keep my money and my phone??? What the hell is that about????,"@791904 I am terribly sorry for the trouble you're having. We do not have access to that information on social media. When you have a moment, please contact us here: https://t.co/3glASt8VcW ^VF",returns_refunds,False,returns_refunds,False,,returns_refunds,False,returns_refunds,0.20357992054523164,@115830 Why are you telling me I'm not a Prime member? You certainly took my money.,"We'd like to help the best we can, Peter. Without giving any personal information, will you tell us more about what's going on?",0.22086783759757284,False,safe_to_auto_handle,"We'd like to help the best we can, Peter. Without giving any personal information, will you tell us more about what's going on?",True,True
4,@AmazonHelp You should GN,"@678751 As informed earlier, we don't have any announcement yet. Please stay tuned. ^MK",other_non_actionable,False,other_non_actionable,False,,other_non_actionable,False,customer_service_complaint,0.16700902378415752,@AmazonHelp You,Please give us another chance. Use the following link so we can look into this further:,0.614984500616993,True,low_intent_confidence,Please give us another chance. Use the following link so we can look into this further:,False,False
5,"@116928 Buenos días,tengo una pregunta. Por qué descuidáis o por qué no supervisáis antes las traducciones y los errores que puedan contener los libros en formato electrónico?Todos tienen errores.Los notificó y nadie contesta.","@812008 Buenos días Health, lamentamos el inconveniente. ¿Has reportado lo que indicas directamente por teléfono con nuestros compañeros de Soporte al Cliente? ^DA",other_non_actionable,False,digital_content,False,,digital_content,False,device_technical,0.24734182138466887,Estaría bien que @115821 ofreciera libros en lengua asturiana tanto en formato digital como en papel para los miles de asturiamos que consumimos esa literatura.,"¡Hola, Miguel! Recibimos tu sugerencia y te agradecemos mucho por hacérnoslo saber. Saludos.",0.2286906876087274,False,safe_to_auto_handle,"¡Hola, Miguel! Recibimos tu sugerencia y te agradecemos mucho por hacérnoslo saber. Saludos.",False,True
6,"@130293 me podéis ayudar, ha cambiado el idioma de todas las apps al español. Pero en un móvil me sigue apareciendo en inglés... He borrado e instalado varias veces... Pero no me sale la opción de cambio de idioma.. Gracias!",@679468 Hola Josep. Te recomendamos contactar a nuestro Servicio de Atención: https://t.co/OjvUxwnzPe ^HC,device_technical,False,device_technical,False,,device_technical,False,device_technical,0.240254815905532,@116875 Por que no me sale la opción de 18 meses? https://t.co/LUwsUgQqbQ,"Hola Emmanuel, en el siguiente enlace podrás tener información sobre como manejamos los Meses sin intereses:",0.26636696598420984,False,safe_to_auto_handle,"Hola Emmanuel, en el siguiente enlace podrás tener información sobre como manejamos los Meses sin intereses:",True,True
7,@AmazonHelp I don't have an Amazon account with that email address. But it is an address with 2 step verification that has not been hacked.  Why would someone be able to set up an Amazon account with an email account that has not been verified thru Amazon?  Sounds like Amazon security prob.,"@280258 Hey, you can set up an Amazon account using any email address that's not already associated with Amazon account. ^RS",account_security,True,account_security,True,,account_security,True,account_security,0.19181788314866216,@AmazonHelp I don't have an Amazon Account,"Hi Jenny, would there be anyone in your family/friends that have Amazon account and would have access to your card?",0.36412876291887514,True,security_or_account_risk,"Hi Jenny, would there be anyone in your family/friends that have Amazon account and would have access to your card?",True,True
8,@AmazonHelp Sent my details as required.. expecting a quick intervention.,@242148 Thank you for the confirmation. We have received your details. We would now investigate and connect with you at the earliest. ^KK,other_non_actionable,False,other_non_actionable,False,,other_non_actionable,False,customer_service_complaint,0.14435768846851496,@AmazonHelp sent all the details as required from your end.,"Thanks for the update, appreciate your patience while we work on it.",0.4500812218013626,True,low_intent_confidence,"Thanks for the update, appreciate your patience while we work on it.",False,False
9,@115850 is just awesome. They solve my problem in 1 hour and also give a amazon pay gift.  Thank you @115850 @115823,@773642 I'm glad that you are happy with our service. ^SF,other_non_actionable,False,other_non_actionable,False,,other_non_actionable,False,other_non_actionable,0.1562259248597529,"Thank you @115850 
Received my gift thank you. #apptreasurehunt","You're welcome, Dhruv. :)",0.33125934508778115,True,low_intent_confidence,"You're welcome, Dhruv. :)",True,False
10,"@AmazonHelp What repeat , what about my loses? It’s more than ₹4000",@414841 here: https://t.co/beaaDm0muc. We'll check and get back to you at the earliest. 2/2 ^HS,other_non_actionable,False,customer_service_complaint,False,,customer_service_complaint,False,subscription_prime,0.1141876941112783,@AmazonHelp What about my product. https://t.co/y6vnvfEVjY,Please don’t provide your order details as it is personal information. Our Twitter page is visible to public.,0.38740438535981314,True,low_intent_confidence,Please don’t provide your order details as it is personal information. Our Twitter page is visible to public.,False,False
11,@AmazonHelp Thanks. Do check also why its taking more than 15 days to fix this. Can you cnfm this is not a virus issue? We must info ppl to be careful.,"@306166 We've received your details, our team is currently working on this. You should receive an update soon. ^EM",other_non_actionable,True,account_security,True,,account_security,True,account_security,0.2717302530718628,"@115850 : even being prime user, its taking more than 5 days for delivery. Bother to compensate? https://t.co/Kt4ZFr32qv","The delivery estimates are provided for an order depending upon various factors like item availability, shipping destination, etc. Please be assured, we'll deliver the product as per the estimates provided.",0.21730657807049264,True,legal_or_high_risk,"The delivery estimates are provided for an order depending upon various factors like item availability, shipping destination, etc. Please be assured, we'll deliver the product as per the estimates provided.",True,True
