sample_id,customer_text,retrieved_customer_text,retrieved_brand_response,similarity
1,"@AmazonHelp Hi,ich habe ein Problem mit meinen geliehenen Amazon Video Filmen. Wo kann ich mich für Hilfestellungen hinwenden?",@AmazonHelp ich habe ein Problem mit einem Headset das ich im September 16 bestellt habe und im Dezember schon ausgetauscht wurde,"@199023 Hi, dann melde dich doch bitte gleich bei meinen Kollegen: https://t.co/24XL9C4y1x Grüße ^AK",0.35071554945912664
2,@115821 Based on my late packages you’re not actually shipping things....,@AmazonHelp Great so you’re not actually customer service ! 🙄,@486252 us using the link provided earlier so that we can help you further. (2/2) ^SS,0.33874341984459255
3,Hey @115830 why are you telling someone they can keep the phone I sold them after I already refunded the money? So your policy says they can keep my money and my phone??? What the hell is that about????,@115830 Why are you telling me I'm not a Prime member? You certainly took my money.,"@598553 We'd like to help the best we can, Peter. Without giving any personal information, will you tell us more about what's going on? ^HC",0.22086783759757284
4,@AmazonHelp You should GN,@AmazonHelp You.,@419292 We'd like a chance to look into this with you! Please reach out to us at the following link: https://t.co/JzP7hlA23B ^WT,0.614984500616993
5,"@116928 Buenos días,tengo una pregunta. Por qué descuidáis o por qué no supervisáis antes las traducciones y los errores que puedan contener los libros en formato electrónico?Todos tienen errores.Los notificó y nadie contesta.",Estaría bien que @115821 ofreciera libros en lengua asturiana tanto en formato digital como en papel para los miles de asturiamos que consumimos esa literatura.,"@732316 ¡Hola, Miguel! Recibimos tu sugerencia y te agradecemos mucho por hacérnoslo saber. Saludos. ^ES",0.22869068760872738
6,"@130293 me podéis ayudar, ha cambiado el idioma de todas las apps al español. Pero en un móvil me sigue apareciendo en inglés... He borrado e instalado varias veces... Pero no me sale la opción de cambio de idioma.. Gracias!",@116875 Por que no me sale la opción de 18 meses? https://t.co/LUwsUgQqbQ,"@738312 Hola Emmanuel, en el siguiente enlace podrás tener información sobre como manejamos los Meses sin intereses: https://t.co/Btu75gaI1o. ^AZ",0.26636696598420984
7,@AmazonHelp I don't have an Amazon account with that email address. But it is an address with 2 step verification that has not been hacked.  Why would someone be able to set up an Amazon account with an email account that has not been verified thru Amazon?  Sounds like Amazon security prob.,@AmazonHelp I don't have an Amazon Account,"@783920 Hi Jenny, would there be anyone in your family/friends that have Amazon account and would have access to your card? ^MA",0.36412876291887514
8,@AmazonHelp Sent my details as required.. expecting a quick intervention.,@AmazonHelp sent all the details as required from your end.,"@295644 Thanks for the update, appreciate your patience while we work on it. ^MJ",0.4500812218013626
9,@115850 is just awesome. They solve my problem in 1 hour and also give a amazon pay gift.  Thank you @115850 @115823,"Thank you @115850 
Received my gift thank you. #apptreasurehunt","@565613 You're welcome, Dhruv. :) ^NK",0.33125934508778115
10,"@AmazonHelp What repeat , what about my loses? It’s more than ₹4000",@AmazonHelp What about my product. https://t.co/y6vnvfEVjY,@465794 Please don’t provide your order details as it is personal information. Our Twitter page is visible to public. ^MS,0.3874043853598131
